Faculty,CurrentInstitution,HSCGraduationYear,Gender,CollegeCategory,CollegeLocation,HSCLearningSource,CollegeAttendance,HSCMath,HSCPhysics,HSCChemistry,FamilyMembers,BirthOrder,HouseholdIncomeYearly,HSCMonthlyExpenditure,InternetAvailability,ComputerAvailability,Year1CGPA,UniversityPreferenceOrder,DepartmentPreferenceOrder,FatherEducation,MotherEducation,FatherEmploymentSector,MotherEmploymentSector,ResearchParticipationBinary
CE,CUET,2020,Male (পুরুষ),Public (সরকারি),Rural area (Village) (গ্রামাঞ্চল),Both equally (উভয়ই সমানভাবে),Very regularly (90–100% attendance) (খুব নিয়মিত (৯০–১০০% উপস্থিতি)),190 - 200 (১৯০ - ২০০),190 - 200 (১৯০ - ২০০),190 - 200 (১৯০ - ২০০),4 - 5 (৪ - ৫),Last Child,Less than 5  Lakhs (৫ লাখের কম),"5,000 - 10,000 (৫,০০০ - ১০,০০০)",Unavailable (ইন্টারনেট সুবিধা ছিল না),Unavailable (ছিল না),3.50 - 3.75 (৩.৫০ - ৩.৭৫),5th choice or lower (৫ম পছন্দ বা তার নিচে),4th choice (৪র্থ পছন্দ),Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি),Primary (প্রাথমিক),Business owner (ব্যবসা/উদ্যোক্তা),Homemaker (গৃহকর্মে নিয়োজিত),Participated
CE,RUET,2022,Female (নারী),Private (বেসরকারি),Metropolitan city (বিভাগীয় শহর/মহানগর),College classes (কলেজ ক্লাস),Rarely (25–49%) (কদাচিৎ / খুব কম (২৫–৪৯%)),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),4 - 5 (৪ - ৫),First-child,10- 18 Lakhs (১০ - ১৮ লাখ),"Above 30,000 (৩০,০০০ এর উপরে)",Mobile Data (মোবাইল ডাটা),Unavailable (ছিল না),3.25 - 3.50 (৩.২৫ - ৩.৫০),2nd choice (২য় পছন্দ),2nd choice (২য় পছন্দ),Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব),Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি),Self-employed (স্বনিয়োজিত),Homemaker (গৃহকর্মে নিয়োজিত),Participated
ME,RUET,2020,Male (পুরুষ),Public (সরকারি),Urban area (City) (শহরাঞ্চল),Online Platforms / YouTube (অনলাইন প্ল্যাটফর্ম/ইউটিউব),Rarely (25–49%) (কদাচিৎ / খুব কম (২৫–৪৯%)),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),6 - 7 (৬ - ৭),Last Child,5 - 10 Lakhs (৫ - ১০ লাখ),"5,000 - 10,000 (৫,০০০ - ১০,০০০)",Mobile Data (মোবাইল ডাটা),Available (সহজলভ্য),3.50 - 3.75 (৩.৫০ - ৩.৭৫),1st choice (১ম পছন্দ),2nd choice (২য় পছন্দ),Secondary (মাধ্যমিক/এসএসসি),Primary (প্রাথমিক),Public sector (সরকারি চাকরি),Homemaker (গৃহকর্মে নিয়োজিত),NotParticipated
ME,CUET,2021,Male (পুরুষ),Public (সরকারি),Rural area (Village) (গ্রামাঞ্চল),Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর),Rarely (25–49%) (কদাচিৎ / খুব কম (২৫–৪৯%)),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),6 - 7 (৬ - ৭),Last Child,Less than 5  Lakhs (৫ লাখের কম),"Less than 5,000 (৫,০০০ এর কম)",Unavailable (ইন্টারনেট সুবিধা ছিল না),Unavailable (ছিল না),3.50 - 3.75 (৩.৫০ - ৩.৭৫),1st choice (১ম পছন্দ),1st choice (১ম পছন্দ),Primary (প্রাথমিক),Primary (প্রাথমিক),Business owner (ব্যবসা/উদ্যোক্তা),Homemaker (গৃহকর্মে নিয়োজিত),NotParticipated
CSE,KUET,2020,Male (পুরুষ),Private (বেসরকারি),Urban area (City) (শহরাঞ্চল),Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর),Regularly (75–89%) (নিয়মিত (৭৫–৮৯%)),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),3 (৩),Middle child,Less than 5  Lakhs (৫ লাখের কম),"5,000 - 10,000 (৫,০০০ - ১০,০০০)",Mobile Data (মোবাইল ডাটা),Unavailable (ছিল না),3.00 - 3.25 (৩.০০ - ৩.২৫),5th choice or lower (৫ম পছন্দ বা তার নিচে),1st choice (১ম পছন্দ),Primary (প্রাথমিক),No formal education (প্রাতিষ্ঠানিক শিক্ষা নেই),Private sector (বেসরকারি চাকরি),Homemaker (গৃহকর্মে নিয়োজিত),NotParticipated
CSE,BRAC,2022,Female (নারী),Private (বেসরকারি),Metropolitan city (বিভাগীয় শহর/মহানগর),Online Platforms / YouTube (অনলাইন প্ল্যাটফর্ম/ইউটিউব),Occasionally (50–74%) (মাঝে মাঝে (৫০–৭৪%)),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),2 (২),Middle child,Less than 5  Lakhs (৫ লাখের কম),"10,000 - 20,000 (১০,০০০ - ২০,০০০)",Mobile Data (মোবাইল ডাটা),Unavailable (ছিল না),Less than 3.00 (৩.০০ এর কম),5th choice or lower (৫ম পছন্দ বা তার নিচে),4th choice (৪র্থ পছন্দ),Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব),Undergraduate (স্নাতক/অনার্স),Private sector (বেসরকারি চাকরি),Homemaker (গৃহকর্মে নিয়োজিত),Participated
Others,CUET,2021,Female (নারী),Public (সরকারি),Rural area (Village) (গ্রামাঞ্চল),Both equally (উভয়ই সমানভাবে),Very rarely (Below 25%) (খুবই কম (২৫%-এর নিচে)),190 - 200 (১৯০ - ২০০),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),6 - 7 (৬ - ৭),Middle child,Above 18 Lakhs (১৮ লাখের উপরে),"Less than 5,000 (৫,০০০ এর কম)",Mobile Data with limited Access (সীমিত সুবিধা),Available (সহজলভ্য),3.50 - 3.75 (৩.৫০ - ৩.৭৫),5th choice or lower (৫ম পছন্দ বা তার নিচে),4th choice (৪র্থ পছন্দ),Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি),Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব),Private sector (বেসরকারি চাকরি),Homemaker (গৃহকর্মে নিয়োজিত),Participated
EEE,KUET,2022,Male (পুরুষ),Public (সরকারি),Rural area (Village) (গ্রামাঞ্চল),Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর),Very regularly (90–100% attendance) (খুব নিয়মিত (৯০–১০০% উপস্থিতি)),190 - 200 (১৯০ - ২০০),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),6 - 7 (৬ - ৭),Others,Less than 5  Lakhs (৫ লাখের কম),"Above 30,000 (৩০,০০০ এর উপরে)",WIFI Connectivity (উচ্চগতির ওয়াইফাই),Unavailable (ছিল না),3.50 - 3.75 (৩.৫০ - ৩.৭৫),5th choice or lower (৫ম পছন্দ বা তার নিচে),2nd choice (২য় পছন্দ),Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব),Primary (প্রাথমিক),Private sector (বেসরকারি চাকরি),Homemaker (গৃহকর্মে নিয়োজিত),Participated
CSE,IUBAT,2022,Male (পুরুষ),Private (বেসরকারি),Semi-urban area (আধা-নগর এলাকা),Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর),Regularly (75–89%) (নিয়মিত (৭৫–৮৯%)),140 - 160 (১৪০ - ১৬০),140 - 160 (১৪০ - ১৬০),140 - 160 (১৪০ - ১৬০),3 (৩),First-child,5 - 10 Lakhs (৫ - ১০ লাখ),"Above 30,000 (৩০,০০০ এর উপরে)",Mobile Data (মোবাইল ডাটা),Unavailable (ছিল না),Above 3.75 (৩.৭৫ এর উপরে),4th choice (৪র্থ পছন্দ),1st choice (১ম পছন্দ),Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি),Undergraduate (স্নাতক/অনার্স),Private sector (বেসরকারি চাকরি),Private sector (বেসরকারি চাকরি),Participated
CE,KUET,2022,Female (নারী),Public (সরকারি),Semi-urban area (আধা-নগর এলাকা),Both equally (উভয়ই সমানভাবে),Rarely (25–49%) (কদাচিৎ / খুব কম (২৫–৪৯%)),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),6 - 7 (৬ - ৭),First-child,Less than 5  Lakhs (৫ লাখের কম),"10,000 - 20,000 (১০,০০০ - ২০,০০০)",Mobile Data with limited Access (সীমিত সুবিধা),Available (সহজলভ্য),3.25 - 3.50 (৩.২৫ - ৩.৫০),5th choice or lower (৫ম পছন্দ বা তার নিচে),1st choice (১ম পছন্দ),Primary (প্রাথমিক),Secondary (মাধ্যমিক/এসএসসি),Self-employed (স্বনিয়োজিত),Homemaker (গৃহকর্মে নিয়োজিত),NotParticipated
